item_sku,brand_name,item_name,manufacturer,model_number,part_number,product_description,bullet_point1,bullet_point2,bullet_point3,bullet_point4,bullet_point5,generic_keywords,target_audience_keywords,main_image_url,other_image_url1,other_image_url2,other_image_url3,other_image_url4,swatch_image_url,parent_child,parent_sku,relationship_type,variation_theme,standard_price,list_price,quantity,fulfillment_center_id,item_condition,external_product_id,external_product_id_type,item_type_keyword,product_tax_code,color_name,color_map,size_name,size_map,material_type,style_name,included_components,special_features,item_package_quantity,number_of_items,country_of_origin,item_weight,item_weight_unit_of_measure,item_length,item_width,item_height,item_dimensions_unit_of_measure,department_name,recommended_browse_nodes,care_instructions,update_delete
ZC-MAT-PARENT,ZenCore,ZenCore Non-Slip Yoga Mat - Extra Thick Eco-Friendly TPE Exercise Mat with Carry Strap,ZenCore Fitness,ZC-MAT,ZC-MAT,"Build a steadier practice on the ZenCore Yoga Mat. A textured, double-sided non-slip surface grips the floor and your hands and feet through the sweatiest hot-yoga flow, while the eco-friendly, latex-free TPE material is gentle on joints and easy on the planet. Lightweight yet cushioned, it rolls up small enough to toss in a gym bag and comes with a carry strap for the studio, the park, or a hotel room. Available in multiple thicknesses and colors to match your practice and your style.","SUPERIOR GRIP, EVEN SWEATY: Double-sided textured surface prevents slipping through hot yoga or HIIT","JOINT-FRIENDLY CUSHIONING: Supportive TPE foam protects knees, wrists, and hips on hard floors","ECO-FRIENDLY & LATEX-FREE: Free of PVC and harsh chemicals, safe for sensitive skin",LIGHTWEIGHT & PORTABLE: Rolls up compactly with the included carry strap for studio or travel,EASY CLEAN-UP: Wipes down in seconds with a damp cloth after every session,pilates mat exercise mat workout mat fitness mat non slip mat home gym gear,gift for yogis beginners pilates practitioners,https://images.example.com/zencore/mat-main.jpg,https://images.example.com/zencore/mat-lifestyle.jpg,https://images.example.com/zencore/mat-dimensions.jpg,https://images.example.com/zencore/mat-texture.jpg,https://images.example.com/zencore/mat-colors.jpg,,Parent,,,SizeName-ColorName,,,,AMAZON_NA,New,,,exercise-mat,A_GEN_TAX,,,,,TPE Foam,Classic,"1 Mat, 1 Carry Strap","Non-Slip, Eco-Friendly, Latex-Free",1,1,Vietnam,,,,,,,Unisex-Adult,3407731,Wipe clean with a damp cloth; air dry,Update
ZC-MAT-4MM-GRE,ZenCore,"ZenCore Non-Slip Yoga Mat, 4mm Thick, Charcoal Grey - Eco-Friendly TPE Exercise Mat with Carry Strap",ZenCore Fitness,ZC-MAT-4MM,ZC-MAT-4MM-GRE,"The ZenCore 4mm Yoga Mat in Charcoal Grey delivers a textured, double-sided non-slip surface that grips through the sweatiest flow, plus supportive TPE cushioning that's gentle on knees and wrists. Eco-friendly and latex-free, it rolls up compactly with the included carry strap for the studio, the park, or travel.","SUPERIOR GRIP, EVEN SWEATY: Double-sided texture prevents slipping, 4mm cushioning underfoot","JOINT-FRIENDLY CUSHIONING: Supportive TPE foam protects knees, wrists, and hips on hard floors","ECO-FRIENDLY & LATEX-FREE: Free of PVC and harsh chemicals, safe for sensitive skin",TRUE CHARCOAL GREY TONE: Fade-resistant color stays vibrant wash after wash,EASY CLEAN-UP: Wipes down in seconds with a damp cloth after every session,pilates mat exercise mat workout mat fitness mat non slip mat home gym gear,gift for yogis beginners pilates practitioners,https://images.example.com/zencore/mat-4mm-grey-main.jpg,https://images.example.com/zencore/mat-lifestyle.jpg,https://images.example.com/zencore/mat-dimensions.jpg,https://images.example.com/zencore/mat-texture.jpg,https://images.example.com/zencore/mat-colors.jpg,https://images.example.com/zencore/swatch-grey.jpg,Child,ZC-MAT-PARENT,Variation,SizeName-ColorName,29.99,34.99,200,AMAZON_NA,New,791525035793,UPC,exercise-mat,A_GEN_TAX,Charcoal Grey,Grey,4mm,4mm,TPE Foam,Classic,"1 Mat, 1 Carry Strap","Non-Slip, Eco-Friendly, Latex-Free",1,1,Vietnam,1.8,Pounds,72,24,0.4,Inches,Unisex-Adult,3407731,Wipe clean with a damp cloth; air dry,Update
ZC-MAT-4MM-GRE,ZenCore,"ZenCore Non-Slip Yoga Mat, 4mm Thick, Sage Green - Eco-Friendly TPE Exercise Mat with Carry Strap",ZenCore Fitness,ZC-MAT-4MM,ZC-MAT-4MM-GRE,"The ZenCore 4mm Yoga Mat in Sage Green delivers a textured, double-sided non-slip surface that grips through the sweatiest flow, plus supportive TPE cushioning that's gentle on knees and wrists. Eco-friendly and latex-free, it rolls up compactly with the included carry strap for the studio, the park, or travel.","SUPERIOR GRIP, EVEN SWEATY: Double-sided texture prevents slipping, 4mm cushioning underfoot","JOINT-FRIENDLY CUSHIONING: Supportive TPE foam protects knees, wrists, and hips on hard floors","ECO-FRIENDLY & LATEX-FREE: Free of PVC and harsh chemicals, safe for sensitive skin",TRUE SAGE GREEN TONE: Fade-resistant color stays vibrant wash after wash,EASY CLEAN-UP: Wipes down in seconds with a damp cloth after every session,pilates mat exercise mat workout mat fitness mat non slip mat home gym gear,gift for yogis beginners pilates practitioners,https://images.example.com/zencore/mat-4mm-green-main.jpg,https://images.example.com/zencore/mat-lifestyle.jpg,https://images.example.com/zencore/mat-dimensions.jpg,https://images.example.com/zencore/mat-texture.jpg,https://images.example.com/zencore/mat-colors.jpg,https://images.example.com/zencore/swatch-green.jpg,Child,ZC-MAT-PARENT,Variation,SizeName-ColorName,29.99,34.99,200,AMAZON_NA,New,791525035793,UPC,exercise-mat,A_GEN_TAX,Sage Green,Green,4mm,4mm,TPE Foam,Classic,"1 Mat, 1 Carry Strap","Non-Slip, Eco-Friendly, Latex-Free",1,1,Vietnam,1.8,Pounds,72,24,0.4,Inches,Unisex-Adult,3407731,Wipe clean with a damp cloth; air dry,Update
ZC-MAT-4MM-PUR,ZenCore,"ZenCore Non-Slip Yoga Mat, 4mm Thick, Lavender - Eco-Friendly TPE Exercise Mat with Carry Strap",ZenCore Fitness,ZC-MAT-4MM,ZC-MAT-4MM-PUR,"The ZenCore 4mm Yoga Mat in Lavender delivers a textured, double-sided non-slip surface that grips through the sweatiest flow, plus supportive TPE cushioning that's gentle on knees and wrists. Eco-friendly and latex-free, it rolls up compactly with the included carry strap for the studio, the park, or travel.","SUPERIOR GRIP, EVEN SWEATY: Double-sided texture prevents slipping, 4mm cushioning underfoot","JOINT-FRIENDLY CUSHIONING: Supportive TPE foam protects knees, wrists, and hips on hard floors","ECO-FRIENDLY & LATEX-FREE: Free of PVC and harsh chemicals, safe for sensitive skin",TRUE LAVENDER TONE: Fade-resistant color stays vibrant wash after wash,EASY CLEAN-UP: Wipes down in seconds with a damp cloth after every session,pilates mat exercise mat workout mat fitness mat non slip mat home gym gear,gift for yogis beginners pilates practitioners,https://images.example.com/zencore/mat-4mm-purple-main.jpg,https://images.example.com/zencore/mat-lifestyle.jpg,https://images.example.com/zencore/mat-dimensions.jpg,https://images.example.com/zencore/mat-texture.jpg,https://images.example.com/zencore/mat-colors.jpg,https://images.example.com/zencore/swatch-purple.jpg,Child,ZC-MAT-PARENT,Variation,SizeName-ColorName,29.99,34.99,200,AMAZON_NA,New,745502038065,UPC,exercise-mat,A_GEN_TAX,Lavender,Purple,4mm,4mm,TPE Foam,Classic,"1 Mat, 1 Carry Strap","Non-Slip, Eco-Friendly, Latex-Free",1,1,Vietnam,1.8,Pounds,72,24,0.4,Inches,Unisex-Adult,3407731,Wipe clean with a damp cloth; air dry,Update
ZC-MAT-6MM-GRE,ZenCore,"ZenCore Non-Slip Yoga Mat, 6mm Thick, Charcoal Grey - Eco-Friendly TPE Exercise Mat with Carry Strap",ZenCore Fitness,ZC-MAT-6MM,ZC-MAT-6MM-GRE,"The ZenCore 6mm Yoga Mat in Charcoal Grey delivers a textured, double-sided non-slip surface that grips through the sweatiest flow, plus supportive TPE cushioning that's gentle on knees and wrists. Eco-friendly and latex-free, it rolls up compactly with the included carry strap for the studio, the park, or travel.","SUPERIOR GRIP, EVEN SWEATY: Double-sided texture prevents slipping, 6mm cushioning underfoot","JOINT-FRIENDLY CUSHIONING: Supportive TPE foam protects knees, wrists, and hips on hard floors","ECO-FRIENDLY & LATEX-FREE: Free of PVC and harsh chemicals, safe for sensitive skin",TRUE CHARCOAL GREY TONE: Fade-resistant color stays vibrant wash after wash,EASY CLEAN-UP: Wipes down in seconds with a damp cloth after every session,pilates mat exercise mat workout mat fitness mat non slip mat home gym gear,gift for yogis beginners pilates practitioners,https://images.example.com/zencore/mat-6mm-grey-main.jpg,https://images.example.com/zencore/mat-lifestyle.jpg,https://images.example.com/zencore/mat-dimensions.jpg,https://images.example.com/zencore/mat-texture.jpg,https://images.example.com/zencore/mat-colors.jpg,https://images.example.com/zencore/swatch-grey.jpg,Child,ZC-MAT-PARENT,Variation,SizeName-ColorName,34.99,39.99,200,AMAZON_NA,New,726366482921,UPC,exercise-mat,A_GEN_TAX,Charcoal Grey,Grey,6mm,6mm,TPE Foam,Classic,"1 Mat, 1 Carry Strap","Non-Slip, Eco-Friendly, Latex-Free",1,1,Vietnam,2.4,Pounds,72,24,0.6,Inches,Unisex-Adult,3407731,Wipe clean with a damp cloth; air dry,Update
ZC-MAT-6MM-SAG,ZenCore,"ZenCore Non-Slip Yoga Mat, 6mm Thick, Sage Green - Eco-Friendly TPE Exercise Mat with Carry Strap",ZenCore Fitness,ZC-MAT-6MM,ZC-MAT-6MM-SAG,"The ZenCore 6mm Yoga Mat in Sage Green delivers a textured, double-sided non-slip surface that grips through the sweatiest flow, plus supportive TPE cushioning that's gentle on knees and wrists. Eco-friendly and latex-free, it rolls up compactly with the included carry strap for the studio, the park, or travel.","SUPERIOR GRIP, EVEN SWEATY: Double-sided texture prevents slipping, 6mm cushioning underfoot","JOINT-FRIENDLY CUSHIONING: Supportive TPE foam protects knees, wrists, and hips on hard floors","ECO-FRIENDLY & LATEX-FREE: Free of PVC and harsh chemicals, safe for sensitive skin",TRUE SAGE GREEN TONE: Fade-resistant color stays vibrant wash after wash,EASY CLEAN-UP: Wipes down in seconds with a damp cloth after every session,pilates mat exercise mat workout mat fitness mat non slip mat home gym gear,gift for yogis beginners pilates practitioners,https://images.example.com/zencore/mat-6mm-green-main.jpg,https://images.example.com/zencore/mat-lifestyle.jpg,https://images.example.com/zencore/mat-dimensions.jpg,https://images.example.com/zencore/mat-texture.jpg,https://images.example.com/zencore/mat-colors.jpg,https://images.example.com/zencore/swatch-green.jpg,Child,,Variation,SizeName-ColorName,34.99,39.99,200,AMAZON_NA,New,726366482922,UPC,exercise-mat,A_GEN_TAX,Sage Green,Green,6mm,6mm,TPE Foam,Classic,"1 Mat, 1 Carry Strap","Non-Slip, Eco-Friendly, Latex-Free",1,1,Vietnam,2.4,Pounds,72,24,0.6,Inches,Unisex-Adult,3407731,Wipe clean with a damp cloth; air dry,Update
ZC-MAT-6MM-PUR,ZenCore,"ZenCore Non-Slip Yoga Mat, 6mm Thick, Lavender - Eco-Friendly TPE Exercise Mat with Carry Strap",ZenCore Fitness,ZC-MAT-6MM,ZC-MAT-6MM-PUR,"The ZenCore 6mm Yoga Mat in Lavender delivers a textured, double-sided non-slip surface that grips through the sweatiest flow, plus supportive TPE cushioning that's gentle on knees and wrists. Eco-friendly and latex-free, it rolls up compactly with the included carry strap for the studio, the park, or travel.","SUPERIOR GRIP, EVEN SWEATY: Double-sided texture prevents slipping, 6mm cushioning underfoot","JOINT-FRIENDLY CUSHIONING: Supportive TPE foam protects knees, wrists, and hips on hard floors","ECO-FRIENDLY & LATEX-FREE: Free of PVC and harsh chemicals, safe for sensitive skin",TRUE LAVENDER TONE: Fade-resistant color stays vibrant wash after wash,EASY CLEAN-UP: Wipes down in seconds with a damp cloth after every session,pilates mat exercise mat workout mat fitness mat non slip mat home gym gear,gift for yogis beginners pilates practitioners,https://images.example.com/zencore/mat-6mm-purple-main.jpg,https://images.example.com/zencore/mat-lifestyle.jpg,https://images.example.com/zencore/mat-dimensions.jpg,https://images.example.com/zencore/mat-texture.jpg,https://images.example.com/zencore/mat-colors.jpg,https://images.example.com/zencore/swatch-purple.jpg,Child,ZC-MAT-PARENT,Variation,SizeName-ColorName,34.99,39.99,200,AMAZON_NA,New,761063804162,UPC,exercise-mat,A_GEN_TAX,Lavender,Purple,6mm,6mm,TPE Foam,Classic,"1 Mat, 1 Carry Strap","Non-Slip, Eco-Friendly, Latex-Free",1,1,Vietnam,2.4,Pounds,72,24,0.6,Inches,Unisex-Adult,3407731,Wipe clean with a damp cloth; air dry,Update
ZC-MAT-8MM-GRE,ZenCore,"ZenCore Non-Slip Yoga Mat, 8mm Thick, Charcoal Grey - Eco-Friendly TPE Exercise Mat with Carry Strap",ZenCore Fitness,ZC-MAT-8MM,ZC-MAT-8MM-GRE,"The ZenCore 8mm Yoga Mat in Charcoal Grey delivers a textured, double-sided non-slip surface that grips through the sweatiest flow, plus supportive TPE cushioning that's gentle on knees and wrists. Eco-friendly and latex-free, it rolls up compactly with the included carry strap for the studio, the park, or travel.","SUPERIOR GRIP, EVEN SWEATY: Double-sided texture prevents slipping, 8mm cushioning underfoot","JOINT-FRIENDLY CUSHIONING: Supportive TPE foam protects knees, wrists, and hips on hard floors","ECO-FRIENDLY & LATEX-FREE: Free of PVC and harsh chemicals, safe for sensitive skin",TRUE CHARCOAL GREY TONE: Fade-resistant color stays vibrant wash after wash,EASY CLEAN-UP: Wipes down in seconds with a damp cloth after every session,pilates mat exercise mat workout mat fitness mat non slip mat home gym gear,gift for yogis beginners pilates practitioners,https://images.example.com/zencore/mat-8mm-grey-main.jpg,https://images.example.com/zencore/mat-lifestyle.jpg,https://images.example.com/zencore/mat-dimensions.jpg,https://images.example.com/zencore/mat-texture.jpg,https://images.example.com/zencore/mat-colors.jpg,https://images.example.com/zencore/swatch-grey.jpg,Child,ZC-MAT-PARENT,Variation,SizeName-ColorName,39.99,44.99,200,AMAZON_NA,New,724317754286,UPC,exercise-mat,A_GEN_TAX,Charcoal Grey,Grey,8mm,8mm,TPE Foam,Classic,"1 Mat, 1 Carry Strap","Non-Slip, Eco-Friendly, Latex-Free",1,1,Vietnam,3,Pounds,72,24,0.8,Inches,Unisex-Adult,3407731,Wipe clean with a damp cloth; air dry,Update
ZC-MAT-8MM-SAG,ZenCore,"ZenCore Non-Slip Yoga Mat, 8mm Thick, Sage Green - Eco-Friendly TPE Exercise Mat with Carry Strap",ZenCore Fitness,ZC-MAT-8MM,ZC-MAT-8MM-SAG,"The ZenCore 8mm Yoga Mat in Sage Green delivers a textured, double-sided non-slip surface that grips through the sweatiest flow, plus supportive TPE cushioning that's gentle on knees and wrists. Eco-friendly and latex-free, it rolls up compactly with the included carry strap for the studio, the park, or travel.","SUPERIOR GRIP, EVEN SWEATY: Double-sided texture prevents slipping, 8mm cushioning underfoot","JOINT-FRIENDLY CUSHIONING: Supportive TPE foam protects knees, wrists, and hips on hard floors","ECO-FRIENDLY & LATEX-FREE: Free of PVC and harsh chemicals, safe for sensitive skin",TRUE SAGE GREEN TONE: Fade-resistant color stays vibrant wash after wash,EASY CLEAN-UP: Wipes down in seconds with a damp cloth after every session,pilates mat exercise mat workout mat fitness mat non slip mat home gym gear,gift for yogis beginners pilates practitioners,https://images.example.com/zencore/mat-8mm-green-main.jpg,https://images.example.com/zencore/mat-lifestyle.jpg,https://images.example.com/zencore/mat-dimensions.jpg,https://images.example.com/zencore/mat-texture.jpg,https://images.example.com/zencore/mat-colors.jpg,https://images.example.com/zencore/swatch-green.jpg,Child,ZC-MAT-PARENT,Variation,SizeName-ColorName,39.99,44.99,200,AMAZON_NA,New,724317754287,UPC,exercise-mat,A_GEN_TAX,Sage Green,Green,8mm,8mm,TPE Foam,Classic,"1 Mat, 1 Carry Strap","Non-Slip, Eco-Friendly, Latex-Free",1,1,Vietnam,3,Pounds,72,24,0.8,Inches,Unisex-Adult,3407731,Wipe clean with a damp cloth; air dry,Update
ZC-MAT-8MM-PUR,ZenCore,"ZenCore Non-Slip Yoga Mat, 8mm Thick, Lavender - Eco-Friendly TPE Exercise Mat with Carry Strap",ZenCore Fitness,ZC-MAT-8MM,ZC-MAT-8MM-PUR,"The ZenCore 8mm Yoga Mat in Lavender delivers a textured, double-sided non-slip surface that grips through the sweatiest flow, plus supportive TPE cushioning that's gentle on knees and wrists. Eco-friendly and latex-free, it rolls up compactly with the included carry strap for the studio, the park, or travel.","SUPERIOR GRIP, EVEN SWEATY: Double-sided texture prevents slipping, 8mm cushioning underfoot","JOINT-FRIENDLY CUSHIONING: Supportive TPE foam protects knees, wrists, and hips on hard floors","ECO-FRIENDLY & LATEX-FREE: Free of PVC and harsh chemicals, safe for sensitive skin",TRUE LAVENDER TONE: Fade-resistant color stays vibrant wash after wash,EASY CLEAN-UP: Wipes down in seconds with a damp cloth after every session,pilates mat exercise mat workout mat fitness mat non slip mat home gym gear,gift for yogis beginners pilates practitioners,https://images.example.com/zencore/mat-8mm-purple-main.jpg,,,,,,Child,ZC-MAT-PARENT,Variation,SizeName-ColorName,39.99,44.99,200,AMAZON_NA,New,770922915864,UPC,exercise-mat,A_GEN_TAX,Lavender,Purple,8mm,8mm,TPE Foam,Classic,"1 Mat, 1 Carry Strap","Non-Slip, Eco-Friendly, Latex-Free",1,1,Vietnam,3,Pounds,72,24,0.8,Inches,Unisex-Adult,3407731,Wipe clean with a damp cloth; air dry,Update
